step,rebuild_triggered,last_true_target,prediction,error,threshold,feature_MLUT4_AIA792101B,feature_MLUT4_TE-252D,feature_MLUT4_FIC-231B,feature_MLUT4_AT-232A,feature_MLUT4_TE-252F,feature_MLUT4_FIC-231C,feature_MLUT4_PIC-233,feature_MLUT4_TE-252G,feature_MLUT4_TE-252I,feature_前爐SOx濃度,feature_鈣硫比,feature_MLUT4_FIC-231A,feature_MLUT4_IT-E7925B,feature_MLUT4_FIC-233,feature_MLUT4_ZT-232,feature_MLUT4_FT-792020,feature_MLUT4_IT-E7925A,feature_MLUT4_TE-251A,feature_MLUT4_PDT-232,feature_MLUT4_TE-251G,feature_MLUT4_FQ-205,feature_MLUT4_TE-251D,feature_MLUT4_TE-251F,feature_MLUT4_TE-251H,feature_MLUT4_RQ-2BTLS,feature_prev_target,feature_0
1,False,,0.8802425861358643,,,4.125383019357987,963.4986123244987,11.70271073163239,233.3673637056441,936.0,12.53863993731242,960.2643000817786,921.0373160120341,904.9000244140625,588.8618675421442,3.121228614746861,17.62379335242572,15.63184242408199,214.4297062550426,16.39999961853027,13870.52975861536,12.5,902.7656823225125,97.5420814635774,932.7059734436014,382.2453729463978,936.5261773311643,932.3768328136648,963.5466048438768,3.260247261502006,0.85,
2,False,0.8237060789949002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,False,0.808335037842965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,False,0.8034671947867805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,False,0.8036528418676203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,False,0.808512019504161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,False,0.817335899361504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,False,0.8176426433548986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,False,0.812605787256508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,False,0.812413671296953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,False,0.8130678337286121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,False,0.8081928052366926,0.8116170167922974,,,4.127633377118499,962.8765101564413,11.7028157335397,235.5481725458622,936.0,12.53797608325579,962.8069395051352,922.5709601100565,904.0,595.5438217318977,3.255292264427689,17.62295739016652,15.76757670747134,206.3873971883199,16.39999961853027,13941.37510684318,12.5,902.2264151301722,100.4529793416039,933.2625114712364,379.1731350724941,935.8848232345739,932.4593230321665,964.4908640424422,3.400000095367432,0.8110464862708587,
13,False,0.8043759833984307,0.8117806315422058,0.007241033393866614,0.007241033393866614,4.127837955096728,962.9383913422229,11.70282527916764,236.1546565870506,935.7629880098236,12.537915732887,963.1215313067007,922.6119309697375,904.0546905715516,595.4633246933074,3.215343645732049,17.6228813935975,15.69392520319559,206.8873161960854,16.39999961853027,13918.0326367669,12.5,902.2808807617903,101.1243518529084,933.2432791586036,379.3356757143845,936.0967440022432,932.2677910628587,964.609666386704,3.358262051816042,0.8082589383758337,
14,False,0.8088004974215031,0.811652421951294,0.0029801341207027487,0.006814943466550228,4.128042533074957,963.0002725280044,11.70283482479558,236.933321862617,934.9707208207267,12.53785538251822,964.4003947863739,922.6256680727325,904.7031744534582,592.5545330345639,3.159974036914339,17.62280539702849,15.61965854667753,207.0132502558408,16.39999961853027,13899.38266104958,12.5,902.3353463934081,101.3815453599368,933.224046845971,379.500675913283,936.3276494633121,932.0735550127071,964.7284687309655,3.300417975211142,0.8084852510992351,
15,False,0.8169996264974715,0.811652421951294,0.005347204546177542,0.0068622676243288,4.128247111053185,963.0621537137861,11.70284437042352,237.7090189701462,935.0965050193805,12.53779503214943,962.6475793499006,922.6394051757276,904.9000244140625,589.2757095159977,3.121334025450885,17.62272940045947,15.54539189015946,206.0564795493993,16.39999961853027,13921.23516631178,12.5,902.3680126874139,101.9303506200723,933.2114397340022,379.8788083429778,936.5586651118576,932.004353173088,964.9291116246688,3.260047434243885,0.8120433314024778,
16,True,0.8251092413238875,0.8166996240615845,0.013456819372593576,0.011592083578975489,4.128451689031413,963.1777912526373,11.70285391605146,236.3812601840589,935.9042763594214,12.53773468178065,961.1619893696865,922.6531422787226,904.9000244140625,588.6829967919593,3.101872697393954,17.62265340389045,15.48481698820366,201.3045698281437,16.39999961853027,13889.12499417361,12.5,902.0982450786132,99.80357302991361,933.3442705405812,381.1167065971979,936.7896807604033,932.4371304649958,965.2498348145797,3.239708130993308,0.8175034558523911,
17,False,0.8240039386716879,0.8136415481567383,0.007304314610103391,0.007304314610103391,4.128656267009642,963.374929396816,11.70286346167939,234.9439672797591,936.0,12.53767433141186,959.5194100335297,922.6668793817176,904.9000244140625,588.2085365660447,3.195493314831105,17.62257740732143,15.44500030776207,198.1909783998055,16.39999961853027,13889.9853879675,12.5,902.0,98.85306990379578,933.5365383160355,382.843127710513,937.0206964089488,932.8500695642058,965.5716138983349,3.337475391786383,0.8202199481184975,
18,False,0.8134197013084112,0.8125655651092529,0.00022184684832704527,0.006596067833925756,4.128860844987871,963.5729090218913,11.70287300730733,234.0874573587295,936.1293249266258,12.53761398104308,959.0934711948703,922.6806164847127,904.9000244140625,587.3126690269529,3.254551634114911,17.62250141075241,15.40539795268386,196.2887439214339,16.39999961853027,13881.0425610389,12.5,902.0,102.3798915048618,933.72880609149,383.8509851301804,937.2517120574946,932.9000244140625,965.8933929820902,3.399144038207987,0.81737818727689,
19,True,0.8018053589030413,0.809799075126648,0.010760206206211653,0.01006902788699,4.129065422966099,963.7130231329086,11.70288255293527,233.3681941418694,936.8717737061867,12.53755363067429,961.1594013115913,922.6943535877078,904.9000244140625,586.9024625934129,3.2553844454488,17.62242541418339,15.36579559760565,196.6742610779997,16.39999961853027,13874.98940495123,12.5,902.0,102.3887300254961,933.9200727706639,384.365924458888,937.3126557900769,932.9000244140625,966.1696447497264,3.400000095367432,0.810870445010182,
20,False,0.7929801598438556,0.8098690509796143,0.016818915282792335,0.016818915282792335,4.129270000944327,963.7553790594454,11.7028920985632,232.7605483583142,937.0,12.53749328030551,962.6736522436873,922.7080906907029,904.9242487508467,587.1725704279653,3.255397614592277,17.62234941761437,15.32619324252744,199.4432329251904,16.39999961853027,13901.13155801489,12.5,902.0055075475244,103.0465363266841,933.965990524512,385.6025587190812,937.0862794840065,932.8874106875126,966.3689825239326,3.400000095367432,0.8033942588030586,
21,True,0.7886043091221561,0.7987184524536133,0.02126474185745819,0.020820159199991604,4.129474578922556,963.7961499778255,11.70290164419114,230.5860428440055,937.0,12.53743292993673,962.2842051173632,922.7218277936979,905.6477618558667,588.198000828062,3.255410783842303,17.62227342104536,15.35853784915963,200.165990063284,16.39999961853027,13909.75624893644,12.5,902.1745011219148,101.7083855261034,933.9082983466147,388.1167743908978,936.855244697347,932.7840003520407,966.5148271024452,3.400000095367432,0.7972136743852426,
22,False,0.7856638948576748,0.798711359500885,0.013054557595938432,0.013054557595938432,4.129679156900785,963.8369208962056,11.70291118981908,229.7001553517043,937.0687133496904,12.53737257956794,960.6574591757164,922.735564896693,906.0145608957366,587.9275269219012,3.255423953198876,17.62219742447634,15.52088380172204,197.9187281680004,16.39999961853027,13917.0275054001,12.5,902.4195871353777,103.7511628901263,933.8506061687174,389.2105742429692,936.5676237179927,932.6626234532114,966.5662678430814,3.400000095367432,0.7923871273786521,
23,True,0.7811001215727349,0.788745641708374,0.017611237928150114,0.017155569894928946,4.129883734879013,963.8776918145857,11.70292073544702,230.2269978445491,937.7248376103773,12.53731222919916,959.3524614389495,922.749301999688,906.6475385610505,587.0809802097114,3.255437122662002,17.62212142790732,15.68589488538278,194.0083125441412,16.39999961853027,13958.02626414063,12.5,902.6646731488406,102.7977608554804,933.7929139908201,389.5637077332034,936.1739923819939,932.5412465543823,966.6157732298767,3.400000095367432,0.7876703911023091,
24,False,0.783731952530187,0.789567232131958,0.0050136891781870085,0.0050136891781870085,4.130088312857241,963.918462732966,11.70293028107496,229.4908067320434,937.850610511364,12.53725187883037,959.0085193954516,922.763039102683,907.0,587.1223226129541,3.224472225143408,17.6220454313383,15.76461610574305,193.1805814877231,16.39999961853027,13928.8661781752,12.5,902.9110384265787,98.94869198904019,933.7352218129229,390.3442713364662,935.7779226603467,932.4047523778612,966.6652786166721,3.367646527780869,0.7860245537204393,
25,False,0.7866742888120726,0.7900999784469604,0.0028929433198854326,0.004801614592356851,4.13029289083547,963.959233651346,11.70293982670289,228.3446756291663,937.2106089948811,12.53719152846159,959.6135295547438,922.7767762056781,907.0,586.9951218957959,3.191855883469341,17.62196943476928,15.67045202474436,195.3799474517824,16.39999961853027,13906.26490988815,12.5,903.2460448380662,99.92591783583218,933.5938005201457,391.0101013497458,935.5185703591211,932.0751348101223,966.7147840034677,3.333568456589195,0.7862960720601392,
